Distance, Theta
10.995708, 0.001868
11.367775, 0.001656
10.919603, 0.002850
10.944973, -0.003743
11.232479, -0.004357
10.956247, 0.005035
11.218386, -0.003960
11.068994, -0.006576
11.066175, 0.002965
11.345226, -0.005832
10.967521, -0.004196
11.305764, 0.002876
11.159192, -0.000462
11.083088, -0.010408
11.319857, -0.016738
10.933697, -0.015935
11.373413, -0.013875
11.049265, -0.018365
11.424150, -0.022931
10.956247, -0.025188
11.424150, -0.018432
10.891417, -0.016697
11.181742, -0.022954
11.094362, -0.028369
11.181743, -0.024691
10.975977, -0.021902
11.274759, -0.015296
11.105637, -0.025527
11.221204, -0.033829
11.283215, -0.027712
10.857593, -0.024412
11.176105, -0.031078
10.919604, -0.027744
11.364958, -0.026849
10.956246, -0.025179
11.114094, -0.028773
11.224023, -0.029666
11.136642, -0.029447
11.370594, -0.028130
10.950609, -0.023088
11.164829, -0.029494
11.018257, -0.035282
11.207109, -0.030368
11.167648, -0.023346
10.936516, -0.021825
11.176105, -0.031563
11.145099, -0.033832
11.209929, -0.026165
10.928060, -0.025406
11.021076, -0.023382
11.131006, -0.031389
11.246572, -0.030592
11.455155, -0.027589
10.829407, -0.022358
11.232478, -0.028848
10.866049, -0.029189
11.356501, -0.031206
11.077451, -0.027654
11.255028, -0.023647
10.990071, -0.027978
11.373413, -0.031443
10.913966, -0.027922
11.319858, -0.020542
10.964704, -0.023414
11.105638, -0.028615
11.395962, -0.030047
10.975978, -0.019996
11.190198, -0.013423
10.933698, -0.016509
11.142280, -0.017984
11.257846, -0.014163
10.784307, -0.011082
11.342407, -0.004011
10.959065, -0.008195
11.302946, -0.011000
11.162011, -0.005782
10.567268, -0.004352
11.218385, -0.006723
10.832224, -0.003035
11.159192, -0.006817
11.105637, -0.002054
11.218385, -0.000186
10.789944, -0.002339
11.088725, 0.004674
11.066175, -0.003378
11.302945, -0.010575
10.854774, -0.000839
11.277577, 0.003349
10.843499, 0.001990
11.249391, -0.001156
11.240934, -0.004522
11.178923, -0.002321
10.863230, 0.003033
11.359320, 0.003799
11.049263, 0.000086
11.280396, -0.002857
10.885779, -0.001695
11.277578, -0.001224
11.015439, 0.006287
11.260665, 0.002804
11.156374, -0.011123
11.376231, -0.002933
10.770213, -0.001333
11.263484, 0.004626
11.021076, 0.007161
11.111275, -0.009942
11.339589, -0.007314
10.688470, 0.002303
11.336770, 0.004656
10.981615, 0.001171
11.195836, -0.003096
11.001345, 0.000450
11.229659, 0.003303
10.784307, 0.004819
11.314219, 0.001664
11.023896, -0.005880
11.249392, -0.002007
